etid,name,hv,cat,desc,datasheet
,74LS53,0,74 LS Series Logic ,EXPANDABLE 4-WIDE 2-INPUT AND-OR-INVERT GATE,
,74LS54,0,74 LS Series Logic ,3-2-2-3-INPUT AND-OR-INVERT GATE,
,74LS55,0,74 LS Series Logic ,2-WIDE 4-INPUT AND-OR-INVERT GATE (74H VERSION IS EXPANDABLE),
,74LS56,0,74 LS Series Logic ,50:1 FREQUENCY DIVIDER,
,74LS57,0,74 LS Series Logic ,60:1 FREQUENCY DIVIDER,
,74LS58,0,74 LS Series Logic ,2-INPUT & 3-INPUT AND-OR GATE,
,74LS59,0,74 LS Series Logic ,2-INPUT & 3-INPUT AND-OR-INVERT GATE,
,74LS60,0,74 LS Series Logic ,DUAL 4-INPUT EXPANDER,
,74LS61,0,74 LS Series Logic ,TRIPLE 3-INPUT EXPANDER,
,74LS62,0,74 LS Series Logic ,3-2-2-3-INPUT AND-OR EXPANDER,
,74LS63,0,74 LS Series Logic ,HEX CURRENT SENSING INTERFACE GATES,
,74LS64,0,74 LS Series Logic ,4-2-3-2-INPUT AND-OR-INVERT GATE,
,74LS65,0,74 LS Series Logic ,4-2-3-2 INPUT AND-OR-INVERT GATE WITH OPEN COLLECTOR OUTPUT,
,74LS68,0,74 LS Series Logic ,DUAL 4-BIT DECADE COUNTERS,
,74LS69,0,74 LS Series Logic ,DUAL 4-BIT BINARY COUNTERS,
,74LS70,0,74 LS Series Logic ,AND-GATED POSITIVE EDGE TRIGGERED J-K FLIP-FLOP WITH PRESET AND CLEAR,
,74LSH71,0,74 LS Series Logic ,AND-OR-GATED J-K MASTER-SLAVE FLIP-FLOP WITH PRESET,
,74LSL71,0,74 LS Series Logic ,AND-GATED R-S MASTER-SLAVE FLIP-FLOP WITH PRESET AND CLEAR,
,74LS72,0,74 LS Series Logic ,AND GATED J-K MASTER-SLAVE FLIP-FLOP WITH PRESET AND CLEAR,
,74LS73,0,74 LS Series Logic ,DUAL J-K FLIP-FLOP WITH CLEAR,
,74LS74,0,74 LS Series Logic ,DUAL D POSITIVE EDGE TRIGGERED FLIP-FLOP WITH PRESET AND CLEAR,
,74LS75,0,74 LS Series Logic ,4-BIT BISTABLE LATCH,
,74LS76,0,74 LS Series Logic ,DUAL J-K FLIP-FLOP WITH PRESET AND CLEAR,
,74LS77,0,74 LS Series Logic ,4-BIT BISTABLE LATCH,
,74LSH78,0,74 LS Series Logic ,"DUAL POSITIVE PULSE TRIGGERED J-K FLIP-FLOP WITH PRESET, COMMON CLOCK, AND COMMON CLEAR",
,74LSL78,0,74 LS Series Logic ,"DUAL POSITIVE PULSE TRIGGERED J-K FLIP-FLOP WITH PRESET, COMMON CLOCK, AND COMMON CLEAR",
,74LSLS78,0,74 LS Series Logic ,"DUAL NEGATIVE EDGE TRIGGERED J-K FLIP-FLOP WITH PRESET, COMMON CLOCK, AND COMMON CLEAR",
,74LS79,0,74 LS Series Logic ,DUAL D FLIP-FLOP,
,74LS1G79,0,74 LS Series Logic ,SINGLE D-TYPE FLIP-FLOP POSITIVE EDGE TRIGGER NON-INVERTING OUTPUT,
,74LS80,0,74 LS Series Logic ,GATED FULL ADDER,
,74LS1G80,0,74 LS Series Logic ,SINGLE D-TYPE FLIP-FLOP POSITIVE EDGE TRIGGER INVERTING OUTPUT,
,74LS81,0,74 LS Series Logic ,16-BIT RANDOM ACCESS MEMORY,
,74LS82,0,74 LS Series Logic ,2-BIT BINARY FULL ADDER,
,74LS83,0,74 LS Series Logic ,4-BIT BINARY FULL ADDER,
,74LS84,0,74 LS Series Logic ,16-BIT RANDOM ACCESS MEMORY,
,74LS85,0,74 LS Series Logic ,4-BIT MAGNITUDE COMPARATOR,
,74LS86,0,74 LS Series Logic ,QUAD 2-INPUT XOR GATE,
,74LS1G86,0,74 LS Series Logic ,SINGLE 2-INPUT EXCLUSIVE-OR GATE,
,74LS87,0,74 LS Series Logic ,4-BIT TRUE/COMPLEMENT/ZERO/ONE ELEMENT,
,74LS88,0,74 LS Series Logic ,256-BIT READ-ONLY MEMORY,
,74LS89,0,74 LS Series Logic ,64-BIT RANDOM ACCESS MEMORY,
,74LS90,0,74 LS Series Logic ,DECADE COUNTER (SEPARATE DIVIDE-BY-2 AND DIVIDE-BY-5 SECTIONS),
,74LS91,0,74 LS Series Logic ,"8-BIT SHIFT REGISTER, SERIAL IN, SERIAL OUT, GATED INPUT",
,74LS92,0,74 LS Series Logic ,DIVIDE-BY-12 COUNTER (SEPARATE DIVIDE-BY-2 AND DIVIDE-BY-6 SECTIONS),
,74LS93,0,74 LS Series Logic ,4-BIT BINARY COUNTER (SEPARATE DIVIDE-BY-2 AND DIVIDE-BY-8 SECTIONS),
,74LS94,0,74 LS Series Logic ,"4-BIT SHIFT REGISTER, DUAL ASYNCHRONOUS PRESETS",
,74LS95,0,74 LS Series Logic ,"4-BIT SHIFT REGISTER, PARALLEL IN, PARALLEL OUT, SERIAL INPUT",
,74LS96,0,74 LS Series Logic ,"5-BIT PARALLEL-IN/PARALLEL-OUT SHIFT REGISTER, ASYNCHRONOUS PRESET",
,74LS97,0,74 LS Series Logic ,SYNCHRONOUS 6-BIT BINARY RATE MULTIPLIER,
,74LS1G97,0,74 LS Series Logic ,CONFIGURABLE MULTIPLE-FUNCTION GATE,
,74LS98,0,74 LS Series Logic ,4-BIT DATA SELECTOR/STORAGE REGISTER,
,74LS99,0,74 LS Series Logic ,4-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER,
,74LS100,0,74 LS Series Logic ,DUAL 4-BIT BISTABLE LATCH,
,74LS101,0,74 LS Series Logic ,AND-OR-GATED J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET,
,74LS102,0,74 LS Series Logic ,AND-GATED J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET AND CLEAR,
,74LS103,0,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR,
